gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/Co-23_S8.bam
"ARHGEF40"	1155
"ARHGEF5"	32
"ARHGEF6"	1126
"ARHGEF7"	5032
"ARHGEF7-AS1"	1
"ARHGEF7-AS2"	23
"ARHGEF9"	6191
"ARHGEF9-IT1"	14
"ARID1A"	3213
"ARID1B"	2729
"ARID2"	1487
"ARID3A"	90
"ARID3B"	177
"ARID3C"	28
"ARID4A"	1792
"ARID4B"	2335
"ARID5A"	239
"ARID5B"	3029
"ARIH1"	2203
"ARIH2"	1937
"ARIH2OS"	27
"ARL1"	1587
"ARL10"	488
"ARL11"	22
"ARL13A"	2
"ARL13B"	279
"ARL14"	0
"ARL14EP"	588
"ARL14EPL"	0
"ARL15"	321
"ARL16"	249
"ARL17A"	489
"ARL17B"	479
"ARL2"	952
"ARL2-SNX15"	578
"ARL2BP"	787
"ARL3"	1092
"ARL4A"	595
"ARL4C"	1359
"ARL4D"	131
"ARL5A"	937
"ARL5B"	796
"ARL5C"	2
"ARL6"	623
"ARL6IP1"	5467
"ARL6IP4"	1593
"ARL6IP5"	2648
"ARL6IP6"	160
"ARL8A"	2025
"ARL8B"	3726
"ARL9"	13
"ARMC1"	1085
"ARMC10"	527
"ARMC12"	17
"ARMC2"	369
"ARMC2-AS1"	0
"ARMC3"	35
"ARMC4"	14
"ARMC4P1"	12
"ARMC5"	498
"ARMC6"	392
"ARMC7"	138
"ARMC8"	1048
"ARMC9"	771
"ARMCX1"	491
"ARMCX2"	1237
"ARMCX3"	2407
"ARMCX4"	1505
"ARMCX5"	378
"ARMCX5-GPRASP2"	2756
"ARMCX6"	313
"ARMS2"	0
"ARMT1"	263
"ARNT"	1135
"ARNT2"	11233
"ARNTL"	927
"ARNTL2"	634
"ARNTL2-AS1"	0
"ARPC1A"	1323
"ARPC1B"	221
"ARPC2"	2216
"ARPC3"	1067
"ARPC4"	903
"ARPC4-TTLL3"	531
"ARPC5"	1057
"ARPC5L"	796
"ARPIN"	831
"ARPP19"	7751
"ARPP21"	3438
"ARR3"	0
"ARRB1"	5709
"ARRB2"	938
"ARRDC1"	267
"ARRDC1-AS1"	217
"ARRDC2"	1030
"ARRDC3"	1458
"ARRDC3-AS1"	17
"ARRDC4"	797
"ARRDC5"	12
"ARSA"	715
